trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.8, 'e': 0.44752321376381066}",20,0,-9.691040977535103,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.44304798162617254}",25,6,3.098146845596421,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.4386175018099108}",25,11,11.393459560605255,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.4342313267918117}",20,6,15.627916245559323,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.4298890135238936}",20,10,9.558036948855387,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.42559012338865465}",25,0,0.10037120141171219,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.4213342221547681}",25,0,8.89242662400318,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.8, 'e': 0.41712087993322045}",30,0,-18.55671328586229,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.8, 'e': 0.41294967113388825}",30,10,15.624448025816127,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.40882017442254937}",20,9,5.904220611294231,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.4047319726783239}",20,0,2.2308649275880787,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.40068465295154065}",20,7,14.59459379156526,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.39667780642202527}",30,5,-6.075167221002667,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.392711028357805}",20,0,3.9135808331802746,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.8, 'e': 0.38878391807422696}",25,1,6.203598522066091,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.3848960788934847}",25,4,9.7640867814351,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.38104711810454983}",25,0,3.2260295942913686,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.8, 'e': 0.37723664692350434}",25,3,32.39715414753118,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.37346428045426927}",20,0,-22.044995378180406,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.8, 'e': 0.36972963764972655}",25,4,-14.373591521900016,"{0: 15, 1: 6, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.36603234127322926}",35,21,7.312539597467858,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
